service_name,organisation_name,description,address,categories,email,website,facebook,phone,facilities,access_options,opening_times,accreditation
The Good Care Group - Live in Care,The Good Care Group - Live in Care,"The Good Care Group was founded in 2009 with a vision of becoming the leading provider of high quality home care services that enable people to live well in their home for longer and avoid the stress of moving into a residential care home.  The motivation behind establishing The Good Care Group came from a mix of personal experience in searching for care for relatives and realisation that there were very few home care providers delivering a truly high quality service. The founders' ambition was to establish an organisation that was able to drive up standards, professionalise home care and lead the way in the care sector.The Good Care Group’s first office was opened in London in 2009. In 2012 home care services were launched in Edinburgh, Scotland.  In 2014 we will be establishing local offices in Surrey and Kent, although our home care services are available throughout England and Scotland, they are delivered on a local basis through the regional care teams.","The Tower Building, York Rd,,Lambeth,,London,SE1 7NQ",Older People,,,,,,,,
Hafan Cymru - Domestic Abuse Services,Hafan Cymru,"We are a charitable organisation focusedon Preventing Abuse and Promoting Independence for women, men and children escaping Domestic Abuse and educating the youth of Wales about abuse and its consequences. We offer: Safety * Domestic Abuse awareness and education. * Education, learning and work opportunities. Sanctuary * Temporary homes for single people, young people and families. * Safe houses/ Refuges for women and children. * Supported housing accommodation. Support * Floating support to families and single people in their own homes. * Women only projects / Men only projects / Young Peoples projects.","8 High Street,Haverfordwest,SA612DA","Mental Health,Children and Families,Community,Education and training,Health and social care,Housing,Youth",enquiries@hafancymru.co.uk,,,01437 768671,Conference,"Drop in,Self referrral,Agency referral",,
Scouts Wales,Scouts Wales,"Scouting offers challenge and adventure to nearly 17,000 members in Wales and with nearly 200 activities on offer has something for everybody. Visit our website to find your nearest group.","The Old School,Wine Street,Llantwit Major,CF611RZ","Children and Families,Sport and recreation,Youth",admin@scoutswales.org.uk,http://www.scoutswales.org.uk/,,,"Toilets,Kitchen",Self referrral,,
The Silverline - Helpline for Older People,The Silverline - Helpline for Older Poeple,"The Silver Line is the confidential, free helpline for older people across the UK open every day and night of the year. Our specially trained helpline staff:Offer information, friendship and adviceLink callers to local groups and servicesOffer regular befriending callsProtect and support those who are suffering abuse and neglectThe Silver Line is a helpline for older people - the Silver Generation. We have no strict age limits but most people we speak to are over 65. So, if you think it's for you, it's for you.","Minerva House,42 Wigmore Street,London,W1U2RY","Older People,Health and social care",info@thesilverline.org.uk,http://www.thesilverline.org.uk/,,0800 4 70 80 90,,,,
Respite Holidays,Clynfyw CIC,"Clynfyw CIC Care Farm offers care to those accessing a holiday in the Clynfyw Countryside Centre Cottages.Care can be delivered to adults over the age of 18, and it can be tailored to suit your needs, with staff working around requirements of the individual.For more information please contact alex.clynfyw@gmail.com","Clynfyw CIC Care Farm,Abercych,Boncath,SA37 0HF","Older People,Mental Health,Disability,Health and social care",,,,01239 841236,"Toilets,Kitchen,Refreshment,Internet (wifi),Parking,Disabled access,Disabled toilet","Self referrral,Agency referral,By appointment only",'24/7,CCIW Registered
Funzone After School Club,Morriston Playscheme,After School club for 0 - 12 year olds,"Morriston Memorial Hall,Heol Gwernen,Morriston,SA6 6JR",Children and Families,,,,07763 560625,"Toilets,Disabled access,Disabled toilet",Drop in,,
"Play in Morriston, Play Scheme",Morriston Playscheme,Open access play scheme for 0 - 12 year olds,"Morriston Memorial Hall,Heol Gwernen,Morriston,SA6 6JR",Children and Families,,,,07763 560625,"Toilets,Disabled access,Disabled toilet",Drop in,,
Gwalia,Pobl Group,"General needs housing, intermediate housing, affordable housing and tenancy support provider.","7 - 13 The Kingsway,Swansea,SA1 5JN","Advice and advocacy,Disability,Health and social care,Housing",careandsupport@gwalia.com,,,0800 0121080,"Toilets,Parking,Hearing loop","Drop in,Self referrral,Agency referral,By appointment only",,
Bi Cymru/Wales Training,Bi Swansea,"Training delivered by bisexual people to organisations on the specific issues and concerns facing the bisexual community in Wales and how to design services to meet the needs, wishes and outcomes of bisexual people. Tailored to the needs and wishes of each organisation.Topics include:- Definitions of bisexuality- Myths and misconceptions- Barriers to accessing services- Biphobic hate crime- Bisexual experiences of mental health services- Bisexual experiences of health services- Bisexuality and intersectionality- Providing support within LGBT settings, networks and groups- Suppoting bi people- Linking into the bisexual communityand many more optionsWe can train anywhere in Wales, provided travel expenses and the course cost are covered. All proceeds go to supporting Bi Cymru/Wales (the all-Wales bisexual network and campaigning organisation), Bi Cardiff and Bi Swansea.","c/oUnity LGBT Centre,71 High Street,Swansea,SA1 1LN","Community,Education and training,Health and social care",biswansea1@yahoo.co.uk,,,Text only: 07982 308812,,By appointment only,,
Symud Ymlaen,Construction Youth Trust Cymru,"Construction Youth Trust Cymru is part of a consortium delivering the Symud Ymlaen ,moving Forward project. This is a training and mentoring project that works with Construction Companies, Local Authorities, Welsh Government and partner charities and referral agencies to provide Wales under-represented and disadvantaged 16 to18 year olds who are known to LAC and YOT teams people with supported transitions into Education, Employment and Training. Programmes are run across Wales in all 22 LA areas from our office in Ty Ffederasiwn",,"Community justice,Education and training,Youth",owain.carter@cytrust.org.uk,,,02920 813098,,"Self referrral,Agency referral",,
Fibromyalgia Support Group South Wales,Fibromyalgia Support Group South Wales,We offer advice information on all aspects of fibromyalgia,"Swansea Vale Resource Centre,Llansamlet,Swansea,SA7 0AL",,singletonyvonne@gmail.com,,,01639 681468,"Toilets,Parking,Disabled access,Disabled toilet,Internet  (no wifi)",Drop in,,
Down to Earth Project Accredited learning,Down to Earth Project,"We provide inclusive and practical accredited learning through the outdoors, on our 4 acre site, specialising in working with the most hard to reach.","72a Manselfield Road,Murton,Swansea,SA3 3AP","Children and Families,Disability,Education and training,Environment,Ethnic minorities,Health and social care,Youth",info@downtoearthproject.org.uk,,,01792 232439,"Toilets,Kitchen,IT,Internet (wifi),Parking,Disabled access,Disabled toilet,Internet  (no wifi)","Self referrral,Agency referral,By appointment only",,
Down to Earth Project Adventure activities,Down to Earth Project,We provide a wide range of adventures through the outdoors from coasteering to abseiling and lots more.,"72a Manselfield Road,Murton,Swansea,SA3 3AP","Environment,Sport and recreation",info@downtoearthproject.org.uk,,,01792 232439,"Toilets,Kitchen,IT,Internet (wifi),Parking,Disabled access,Disabled toilet,Internet  (no wifi)","Self referrral,Agency referral,By appointment only",,
Down to Earth Project Psychotherapy,Down to Earth Project,We can offer Gestalt therapy through the unique venue of Down to Earth - for individuals or groups,"72a Manselfield Road,Murton,Swansea,SA3 3AP","Mental Health,Health and social care",jen@downtoearthproject.org.uk,,,01792 232439,"Toilets,Kitchen,IT,Internet (wifi),Parking,Disabled access,Disabled toilet,Internet  (no wifi)",By appointment only,,
